"SGU_kartiert"	"SGUcode"	"TRI_hr_ws31"	"vectorruggedness_hr_ws57"	"preds"
"203"	"SD"	"13"	22.6559075078657	0.0271253722892535	"SD"
"204"	"SD"	"13"	19.799495250948	0.0786102366489347	"SD"
"205"	"ISR"	"13"	27.3255138704854	0.0282153225772438	"ISR"
"206"	"TG"	"13"	13.2409917308438	0.0164028720479439	"TG"
"207"	"SD"	"13"	17.0504352508053	0.0362195433459573	"SD"
"208"	"SD"	"13"	22.6559075078657	0.0271253722892535	"SD"
"209"	"SD"	"13"	26.188873352543	0.0980479795859416	"SD"
"210"	"SD"	"13"	19.6591585528466	0.0613210208586915	"SD"
"211"	"TG"	"13"	20.9632191811838	0.0552485508642978	"SD"
"212"	"SD"	"13"	25.08841653024	0.0429870701019119	"SD"
"213"	"SD"	"13"	22.8767685121106	0.0459571004802041	"SD"
"214"	"TG"	"13"	18.151023280236	0.065450918742627	"TG"
"215"	"TG"	"13"	15.2140810566564	0.0918576778515388	"TG"
"216"	"SD"	"13"	13.9694144956527	0.0311680867148878	"SD"
"217"	"CSR"	"13"	21.2976830851647	0.0405583164114972	"SD"
"218"	"SD"	"13"	23.2075152243337	0.0346297138287281	"SD"
"219"	"CSR"	"13"	24.6933696808354	0.0573482117872539	"SD"
"220"	"ISR"	"13"	22.1088622616183	0.0466028141647907	"SD"
"221"	"SD"	"13"	20.7038517767383	0.0513565789052663	"SD"
"222"	"SD"	"13"	14.1283791911217	0.0138761765734458	"SD"
"223"	"DC"	"13"	24.7557651458248	0.0323276062280309	"SD"
"224"	"TG"	"13"	22.0629267846384	0.00805120278773019	"TG"
"225"	"SD"	"13"	34.1757728207496	0.0134752754181684	"SD"
"226"	"SD"	"13"	17.2786034768628	0.108012617205816	"SD"
"227"	"CBD"	"13"	37.9411849283403	0.092065606066241	"CBD"
"228"	"SB"	"13"	14.3487485147292	0.0261240993204876	"SB"
"229"	"SD"	"13"	25.0087142913572	0.0292537311856185	"SD"
"230"	"SD"	"13"	19.7560607540992	0.0438912986256306	"SD"
"231"	"SD"	"13"	24.2670864289807	0.0341858464490834	"SD"
"232"	"TG"	"13"	23.3756981049815	0.0289693566085776	"SD"
"233"	"TG"	"13"	22.0629267846384	0.00805120278773019	"TG"
"234"	"SD"	"13"	13.8507331571271	0.0311617528871748	"SD"
"235"	"SD"	"13"	15.9612296165959	0.016631219918226	"SD"
"236"	"SD"	"13"	20.5570858370873	0.0631972067203319	"SD"
"237"	"SD"	"13"	22.7445007447274	0.0191481585871691	"SD"
"238"	"TG"	"13"	18.3420609504946	0.0685846050829232	"TG"
"239"	"SD"	"13"	22.548491016511	0.0466418907346389	"SD"
"240"	"ISR"	"13"	24.1346761641964	0.0470452680392526	"SD"
"241"	"TG"	"13"	10.5629864046651	0.0636910497325532	"TG"
"242"	"SD"	"13"	21.4074111446258	0.0500248491260964	"SD"
"243"	"SD"	"13"	14.1440355547013	0.0192746676019349	"SD"
"244"	"SD"	"13"	24.1295465500124	0.0353560466525509	"SD"
"245"	"SD"	"13"	19.9369626199045	0.0573506277028296	"SD"
"246"	"SD"	"13"	16.0382088999594	0.041960991768325	"SD"
"247"	"SD"	"13"	18.4245886033581	0.0323341966529715	"SD"
"248"	"SD"	"13"	31.9736573926864	0.0332080955042449	"SD"
"249"	"SB"	"13"	19.5955769169715	0.0767452161572374	"SD"
"250"	"SD"	"13"	18.0295251261803	0.0404278516297882	"SD"
"251"	"SD"	"13"	7.58749494244975	0.0157330451878034	"SD"
"252"	"SD"	"13"	10.4004765633614	0.0721324091768409	"SD"
"253"	"SD"	"13"	24.1569607180934	0.0776286160820778	"SD"
"254"	"SB"	"13"	23.3722431428971	0.0362415758398044	"SD"
"255"	"SD"	"13"	24.0453192956986	0.0265033340437406	"SD"
"256"	"CBD"	"13"	26.9374847104473	0.0455629382583791	"CBD"
"257"	"SD"	"13"	11.7883343773503	0.0331998781220589	"SD"
"258"	"SB"	"13"	21.179732507275	0.0186485670670052	"SB"
"259"	"TG"	"14"	16.6327442046135	0.00847152014150276	"TG"
"260"	"SD"	"14"	21.9673472219898	0.0791808561568602	"SD"
"261"	"SD"	"14"	21.5749393893826	0.0720707623889242	"SD"
"262"	"SSR"	"14"	22.5032571208092	0.121954642899519	"SSR"
"263"	"SD"	"14"	22.0309886163281	0.0804623711867938	"SD"
"264"	"ISR"	"14"	18.8175899905543	0.0967527964275366	"ISR"
"265"	"SSR"	"14"	16.9413805623208	0.0748673983854274	"SSR"
"266"	"MxD"	"14"	17.8258969399237	0.0723252523044661	"MxD"
"267"	"SSR"	"14"	17.0576327693078	0.0754988128865057	"SSR"
"268"	"ISR"	"14"	19.9828498594223	0.020647734996996	"ISR"
"269"	"SD"	"15"	6.34357338566934	0.00818845883355857	"TG"
"270"	"TG"	"15"	2.36449652333413	0.00509143749795482	"TG"
"271"	"TG"	"15"	5.23600181456535	0.0195718271383784	"TG"
"272"	"TG"	"15"	7.39418827333758	0.0113857864395333	"TG"
"273"	"TG"	"15"	14.4675832563831	0.0218463582807553	"TG"
"274"	"TG"	"15"	11.0782681588204	0.0517207108417299	"TG"
"275"	"ISR"	"15"	23.8820826776566	0.0230783385043575	"ISR"
"276"	"TG"	"15"	7.0671118151757	0.00998933970517524	"TG"
"277"	"TG"	"15"	13.0764221529807	0.0416884212851019	"TG"
