profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
37	Ap2	47	6.55		1				0.96		299	mittlerer Grobanteil			440	Polyeder	-	mittel	schwach	leicht		12	26	11	62			
37	Bt1	75	6.75		1				0.1		399	starker grobanteil			440	Polyeder und Kohärent	-	mittel	schwach	leicht	50	16	18	3	66			
37	2BC	140	6.9		1				0.12		499	sehr starker Grobanteil			450	Subpolyeder und Kohärent	-	grob	schwach	sehr leicht	50	18	16	3	66			
38	Ap1	32	5.37		0				1.72		199	geringer Grobanteil			450	Subpolyeder	-	mittel	schwach	sehr leicht		10	29	17	61			
38	Ap2	75	5.08		0				0.61		199	geringer Grobanteil			450	Subpolyeder	-	mittel	schwach	sehr leicht		10	28	18	62			
38	Bt1	110	5.4		0				0.22		299	mittlerer Grobanteil			450	Subpolyeder	-	mittel	schwach	sehr leicht		6	35	17	59			
38	Ct	160	5.72		0				0.06		199	geringer Grobanteil			399	Kohärentgefüge bis Einzelkorn	-	-	-	leicht	50	3	28	10	69			
39	Ap1	17	6.53		1				2.2		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-fein	schwach	sehr leicht		7	17	1	76			
39	Ap2	75	6.96		1				0.49		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		5	16	2	79			
39	B/C	160	7.29		1				0.31		299	mittlerer Grobanteil			450	Subpolyeder und Einzelkorn	ja	mittel	sehr schwach	-	50	6	20	1	74			
40	Ap1	15	7.08		20				2.3		299	mittlerer Grobanteil			470	Krümel	ja	Mittel-fein	deutlich	leicht		9	23	8	68			
40	Ap2	50	7.29		19				1.42		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	deutlich	leicht		10	23	14	67			
40	C2	85	7.78		30				0.15		199	geringer Grobanteil			399	Kohärentgefüge	-	-	-	sehr leicht		7	34	19	59			
